2025-10-06 13:31:54,222 - Image: frame_0007.jpg, Person: 1, PixelHeight: 235.9px, Estimated: 15.35m, Real: 10.00m, 
2025-10-06 13:31:54,352 - Image: frame_0001.jpg, Person: 1, PixelHeight: 223.6px, Estimated: 16.19m, Real: 10.00m, 
2025-10-06 13:31:54,474 - Image: frame_0005.jpg, Person: 1, PixelHeight: 232.2px, Estimated: 15.59m, Real: 10.00m, 
2025-10-06 13:31:54,661 - Image: frame_0008.jpg, Person: 1, PixelHeight: 235.5px, Estimated: 15.38m, Real: 10.00m, 
2025-10-06 13:31:54,855 - Image: frame_0000.jpg, Person: 1, PixelHeight: 232.1px, Estimated: 15.60m, Real: 10.00m, 
2025-10-06 13:31:55,048 - Image: frame_0003.jpg, Person: 1, PixelHeight: 229.9px, Estimated: 15.75m, Real: 10.00m, 
2025-10-06 13:31:55,242 - Image: frame_0009.jpg, Person: 1, PixelHeight: 230.7px, Estimated: 15.69m, Real: 10.00m, 
2025-10-06 13:31:55,438 - Image: frame_0004.jpg, Person: 1, PixelHeight: 227.8px, Estimated: 15.90m, Real: 10.00m, 
2025-10-06 13:31:55,632 - Image: frame_0006.jpg, Person: 1, PixelHeight: 228.4px, Estimated: 15.85m, Real: 10.00m, 
2025-10-06 13:31:55,826 - Image: frame_0002.jpg, Person: 1, PixelHeight: 216.7px, Estimated: 16.71m, Real: 10.00m, 
2025-10-06 13:31:56,021 - Image: frame_0007.jpg, Person: 1, PixelHeight: 260.2px, Estimated: 13.92m, Real: 10.00m, 
2025-10-06 13:31:56,211 - Image: frame_0001.jpg, Person: 1, PixelHeight: 242.4px, Estimated: 14.93m, Real: 10.00m, 
2025-10-06 13:31:56,405 - Image: frame_0005.jpg, Person: 1, PixelHeight: 259.3px, Estimated: 13.96m, Real: 10.00m, 
2025-10-06 13:31:56,599 - Image: frame_0008.jpg, Person: 1, PixelHeight: 250.0px, Estimated: 14.48m, Real: 10.00m, 
2025-10-06 13:31:56,794 - Image: frame_0000.jpg, Person: 1, PixelHeight: 267.9px, Estimated: 13.51m, Real: 10.00m, 
2025-10-06 13:31:56,991 - Image: frame_0003.jpg, Person: 1, PixelHeight: 263.2px, Estimated: 13.76m, Real: 10.00m, 
2025-10-06 13:31:57,186 - Image: frame_0009.jpg, Person: 1, PixelHeight: 259.8px, Estimated: 13.94m, Real: 10.00m, 
2025-10-06 13:31:57,382 - Image: frame_0004.jpg, Person: 1, PixelHeight: 265.3px, Estimated: 13.65m, Real: 10.00m, 
2025-10-06 13:31:57,576 - Image: frame_0006.jpg, Person: 1, PixelHeight: 259.4px, Estimated: 13.96m, Real: 10.00m, 
2025-10-06 13:31:57,772 - Image: frame_0002.jpg, Person: 1, PixelHeight: 258.9px, Estimated: 13.98m, Real: 10.00m, 
